ex_client;nom;ex_adr1_tiers_facture;adresse;ex_adr2_tiers_facture;cp;ville;ex_ville;departement;localisation;concat_localisation;latitude;longitude;adresse_concat;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_dept;result_citycode
PAGES;BOULANGERIE PAGES;BOULANGERIE PAGES;4, Rue de Provins;4 RUE DE PROVINS;77560;Villiers-Saint-Georges;VILLIERS SAINT GEORGES;77, Seine-et-Marne, Île-de-France;48.650047, 3.406042;48.650047, 3.406042;48.650047;3.406042;4, Rue de Provins;4 Rue de Provins 77560 Villiers-Saint-Georges;0.92;housenumber;ADRNIVX_0000002100854052;4;Rue de Provins;;77560.0;Villiers-Saint-Georges;77, Seine-et-Marne, Île-de-France;77519.0
BABIN;BABIN EDWIGE ET DAVID;;2 Bis, Avenue du Général Leclerc;2 BIS AVENUE DU GENERAL LECLERC;95230;Soisy-sous-Montmorency;SOISY-SOUS-MONTMORENCY;95, Val-d'Oise, Île-de-France;48.977631, 2.306668;48.977631, 2.306668;48.977631;2.306668;2 BIS, Avenue du Général Leclerc;2 BIS Avenue du Général Leclerc 95230 Soisy-sous-Montmorency;0.93;housenumber;ADRNIVX_0000000350508704;2 BIS;Avenue du Général Leclerc;;95230.0;Soisy-sous-Montmorency;95, Val-d'Oise, Île-de-France;95598.0
GOMESALEX;LA MAISON GOURMANDE;LA MAISON GOURMANDE;1, Rue Léon Pelouse;1 RUE LEON PELOUSE;95480;Pierrelaye;PIERRELAYE;95, Val-d'Oise, Île-de-France;49.023377, 2.154279;49.023377, 2.154279;49.023377;2.154279;1, Rue Léon Pelouse;1 Rue Léon Pelouse 95480 Pierrelaye;0.91;housenumber;ADRNIVX_0000000350566356;1;Rue Léon Pelouse;;95480.0;Pierrelaye;95, Val-d'Oise, Île-de-France;95488.0
KAS;BOULANGERIE SAINT HONORE;BOULANGERIE SAINT HONORE;11 Ter, Rue Jean Philippe Rameau;11 TER RUE JEAN PHILIPPE RAMEAU;93200;Saint-Denis;SAINT DENIS;93, Seine-Saint-Denis, Île-de-France;48.920967, 2.354526;48.920967, 2.354526;48.920967;2.354526;11 TER, Rue Jean Philippe Rameau;11 TER Rue Jean Philippe Rameau 93200 Saint-Denis;0.93;housenumber;ADRNIVX_0000002003758057;11 TER;Rue Jean Philippe Rameau;;93200.0;Saint-Denis;93, Seine-Saint-Denis, Île-de-France;93066.0
CONAN;AUX PECHES NORMANDS;;9, Rue du Faubourg du Temple;9 RUE DU FAUBOURG DU TEMPLE;75010;Paris;PARIS;75, Paris, Île-de-France;48.868248, 2.365484;48.868248, 2.365484;48.868248;2.365484;9, Rue du Faubourg du Temple;9 Rue du Faubourg du Temple 75010 Paris;0.95;housenumber;ADRNIVX_0000000270752744;9;Rue du Faubourg du Temple;;75010.0;Paris;75, Paris, Île-de-France;75110.0
DELICESGUY;LES DELICES ET DU PAIN;DES DELICES ET DU PAIN;6, Square Camille Pissarro;4 6  SQUARE CAMILLE PISSARO;78280;Guyancourt;GUYANCOURT;78, Yvelines, Île-de-France;48.783638, 2.055395;48.783638, 2.055395;48.783638;2.055395;6, Square Camille Pissarro;6 Square Camille Pissarro 78280 Guyancourt;0.85;housenumber;ADRNIVX_0000000269560271;6;Square Camille Pissarro;;78280.0;Guyancourt;78, Yvelines, Île-de-France;78297.0
CHOPINPOI;LES DOUCEURS DE LEA;LES DOUCEURS DE LEA;80, Boulevard Maximilien Robespierre;80 BLD ROBESPIERRE;78300;Poissy;POISSY;78, Yvelines, Île-de-France;48.933952, 2.054062;48.933952, 2.054062;48.933952;2.054062;80, Boulevard Maximilien Robespierre;80 Boulevard Maximilien Robespierre 78300 Poissy;0.54;housenumber;ADRNIVX_0000002101135523;80;Boulevard Maximilien Robespierre;;78300.0;Poissy;78, Yvelines, Île-de-France;78498.0
JAREFLEVAL;MS ONE LEVALLOIS SAS;MS ONE LEVALLOIS;143, Rue Aristide Briand;143 RUE ARISTIDE BRIAND;92300;Levallois-Perret;LEVALLOIS PERRET;92, Hauts-de-Seine, Île-de-France;48.896459, 2.297632;48.896459, 2.297632;48.896459;2.297632;143, Rue Aristide Briand;143 Rue Aristide Briand 92300 Levallois-Perret;0.93;housenumber;ADRNIVX_0000002006705893;143;Rue Aristide Briand;;92300.0;Levallois-Perret;92, Hauts-de-Seine, Île-de-France;92044.0
NGUYEN;NGUYEN FAMILY;NGUYEN FAMILY;60, Avenue François Mitterrand;60 AVE FRANCOIS MITTERAND;77144;Montévrain;MONTEVRAIN;77, Seine-et-Marne, Île-de-France;48.866908, 2.760159;48.866908, 2.760159;48.866908;2.760159;60, Avenue François Mitterrand;60 Avenue François Mitterrand 77144 Montévrain;0.83;housenumber;ADRNIVX_0000000332112371;60;Avenue François Mitterrand;;77144.0;Montévrain;77, Seine-et-Marne, Île-de-France;77307.0
MORIEUX;BOULANGERIE MORIEUX;BOULANGERIE MORIEUX;35, Rue d'Aguesseau;35 RUE AGUESSEAU;92100;Boulogne-Billancourt;BOULOGNE BILLANCOURT;92, Hauts-de-Seine, Île-de-France;48.843455, 2.236635;48.843455, 2.236635;48.843455;2.236635;35, Rue d'Aguesseau;35 Rue d'Aguesseau 92100 Boulogne-Billancourt;0.9;housenumber;ADRNIVX_0000000287156804;35;Rue d'Aguesseau;;92100.0;Boulogne-Billancourt;92, Hauts-de-Seine, Île-de-France;92012.0
